Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr20	31825884	31826649	766	3	Shelf	Genic enhancers	Genic enhancers		-0.0084	-0.0056	3.24754109530122e-15	4.19081354938988e-10	2.35047979233354e-15
chr7	45104474	45105271	798	12	Open sea	Strong transcription	Genic enhancers	TBRG4;SNORA5A;SNORA5C	-0.0072	-0.00285833333333333	1.38700674684639e-11	2.7670553693724e-06	2.35354807950265e-15
chr2	219233603	219233754	152	2	Shelf	Strong transcription	Strong transcription	ANKZF1	-0.0085	-0.00835	7.17909584675379e-16	2.25801295127408e-09	2.36815281976565e-15
chr6	163290845	163291489	645	2	Open sea	Flanking Active TSS;Enhancers	Flanking Active TSS;Weak transcription	PACRG	-0.0137	-0.01245	6.55009215286475e-16	7.51323801158844e-09	2.39179565270986e-15
chr6	32832219	32832813	595	11	Open sea	Weak transcription	Weak transcription	XXbac-BPG246D15.9;TAP2	0.005	0.00301818181818182	8.57613682510903e-11	1.44715967091528e-05	2.43820082475327e-15
chr16	28861764	28862258	495	2	Shore	Weak transcription;Enhancers	Quiescent/Low	SH2B1;RP11-22P6.2	-0.0097	-0.0092	8.20872682936989e-16	1.13152296066782e-09	2.46112835028446e-15
chr3	183555456	183556446	991	9	Open sea	Weak transcription;Active TSS;Flanking Active TSS	Enhancers;Quiescent/Low	KLHL6	0.0067	0.00332222222222222	2.50782569685603e-16	9.5814695133931e-05	2.48972970404423e-15
chr1	225488722	225489347	626	2	Open sea	Quiescent/Low	Weak transcription	ENAH	-0.0095	-0.005	1.42002982874087e-07	1.5615394e-16	2.50735654586229e-15
chr19	1650224	1650452	229	4	Shore	Enhancers	Weak transcription;Enhancers	TCF3	0.0067	0.0039	2.04887821789789e-12	1.133089033898e-09	2.52398906049661e-15
chr14	51243893	51244518	626	3	Shelf	Weak transcription;Strong transcription	Weak transcription	TMX1;SNORA70	-0.0095	-0.0036	4.30751050772035e-08	1.3608894e-16	2.53092001330555e-15
chr6	32222547	32224572	2026	11	Open sea	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Active TSS;Quiescent/Low	Weak Repressed PolyComb;Bivalent/Poised TSS;Quiescent/Low	NOTCH4	0.0034	0.00267272727272727	4.98888018881946e-16	0.000697134400889602	2.53416374815719e-15
chr2	127043039	127043694	656	5	Open sea	Quiescent/Low	Quiescent/Low		-0.0074	-0.00386	2.76397398641995e-13	1.57885770747444e-10	2.53467241147116e-15
chr20	25046464	25047082	619	2	Open sea	Genic enhancers	Enhancers;Genic enhancers		-0.0088	-0.00385	1.67514271850066e-08	2.026948e-16	2.55618124906041e-15
chr13	41052581	41053412	832	2	Open sea	Enhancers	Enhancers	ELF1	-0.0095	-0.0093	1.02896458597871e-15	4.15820454672365e-10	2.55736974498906e-15
chr6	125345914	125346605	692	4	Open sea	Active TSS;Weak transcription	Quiescent/Low		0.0065	0.0047	3.55600876641419e-13	8.48066323328697e-10	2.56561364924056e-15
chr19	48740169	48741707	1539	11	Shore;Shelf	Flanking Active TSS;Active TSS;Enhancers	Flanking Active TSS;Active TSS;Enhancers	RASIP1;IZUMO1;FUT2	0.0051	0.00328181818181818	1.04869001533719e-15	8.99364967097131e-06	2.59800033673778e-15
chr11	66068816	66069783	968	6	Shore;Island	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	SF3B2;PACS1;ENSG00000255038;RP11-1167A19.2	-0.0085	-0.00321666666666667	7.31629912262993e-09	5.83272144375923e-10	2.60293328873316e-15
chr1	109466247	109467761	1515	10	Shore;Island	Active TSS	Bivalent/Poised TSS;Active TSS;Flanking Active TSS	SYPL2	0.0079	0.00096	2.99331288396189e-05	2.74863763642860e-12	2.60746443622731e-15
chr1	15749710	15750455	746	4	Shelf	Enhancers;Weak Repressed PolyComb	Weak transcription	RP11-169K16.4	0.0075	0.005025	3.4164716754436e-11	1.87780702351083e-07	2.6094330408819e-15
chr22	19524704	19525652	949	11	Island;Shore	Bivalent/Poised TSS;Bivalent Enhancer	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Repressed PolyComb	CLDN5	0.0048	0.00295454545454545	2.20541853447307e-14	8.07529057432064e-05	2.63810631363178e-15
chr2	63592870	63593731	862	3	Shelf;Open sea	Weak transcription;Genic enhancers	Weak transcription;Genic enhancers	WDPCP;MDH1	-0.011	-0.00876666666666667	8.96702725942806e-16	5.90399114134941e-09	2.648932903438e-15
chr22	17930767	17930883	117	2	Open sea	Enhancers	Enhancers	MICAL3	-0.0111	-0.0085	8.96712585894208e-16	1.17861876246029e-09	2.6828420025356e-15
chr18	21829202	21830188	987	3	Open sea	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	MIB1;AC103987.1;MIR133A1HG	-0.0098	-0.00753333333333333	2.26673453269462e-15	1.61900195869606e-08	2.72986091236588e-15
chr8	143937237	143939746	2510	10	Shore;Shelf	Transcr. at gene 5' and 3';Flanking Active TSS	Transcr. at gene 5' and 3';Flanking Active TSS	PLEC	-0.007	-0.00285	1.72890597239402e-07	5.97443851886796e-10	2.73170974844736e-15
chr19	4539930	4540769	840	7	Shelf	Weak Repressed PolyComb	Enhancers;Weak transcription	LRG1;CTB-50L17.14	0.0066	0.00405714285714286	6.2151896968251e-15	5.87308224041489e-06	2.9057909393282e-15
chr11	117098384	117099285	902	6	Island;Shore	Active TSS;Flanking Active TSS	Active TSS;Flanking Active TSS;Enhancers	SIK3;AP000936.4	-0.0095	-0.00433333333333333	4.04406597105267e-11	2.68923909735106e-06	2.91712536303466e-15
chr19	2275741	2276471	731	4	Island;Shore	Transcr. at gene 5' and 3';Genic enhancers	Flanking Active TSS	LLfos-48D6.2;C19orf35	-0.0057	-0.0036	1.77847275342108e-15	9.12116608307704e-09	2.93465585546512e-15
chr20	57676109	57676731	623	2	Shelf;Open sea	Enhancers;Weak transcription	Weak transcription	PMEPA1	0.0069	0.0066	7.64871506263658e-15	3.283295886429e-12	2.9677309062621e-15
chr17	3901770	3901915	146	3	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	P2RX1	-0.0087	-0.00563333333333333	3.00497420321178e-11	3.0837394243044e-10	3.01171940721134e-15
chr8	23102764	23103574	811	9	Shore;Island	Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	TNFRSF10C	0.0045	0.00313333333333333	2.03979033094926e-14	1.56470993464765e-05	3.03992139514369e-15
chr16	35732903	35735271	2369	10	Open sea	Enhancers;Quiescent/Low	Enhancers;Quiescent/Low	RNA5SP406;RNA5SP407;RNA5SP408;RNA5SP409	-0.0074	0.00036	1.52385689330971e-14	2.24970209205715e-05	3.04162973468315e-15
chr9	13251228	13251431	204	2	Open sea	Weak transcription	Weak transcription	MPDZ	-0.0106	-0.00615	8.36866346095996e-10	4.664782e-16	3.0490620838752e-15
chr10	86677539	86677707	169	2	Open sea	Genic enhancers	Genic enhancers		-0.0108	-0.0058	3.05703967135666e-08	2.281392e-16	3.0735979921328e-15
chr1	236685152	236687060	1909	14	Shore;Island	Active TSS;Flanking Active TSS;Transcr. at gene 5' and 3'	Quiescent/Low;Flanking Active TSS;Active TSS	ACTN2	-0.0099	0.000228571428571429	4.24953386707888e-10	1.39894378703548e-07	3.075911259059e-15
chr2	128736520	128737588	1069	6	Shore;Island	Flanking Bivalent TSS/Enh;Quiescent/Low;Flanking Active TSS	Flanking Bivalent TSS/Enh;Quiescent/Low		0.0063	0.00363333333333333	1.5617201863025e-13	1.71623812642386e-08	3.12149334066662e-15
chr10	70376606	70378091	1486	5	Open sea;Shelf	Genic enhancers;Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	LRRC20	-0.0062	-0.0045	6.61210692474289e-15	6.78633007979851e-07	3.13042394529876e-15
chr1	973373	973939	567	2	Shelf	Bivalent Enhancer;Repressed PolyComb	Bivalent Enhancer;Enhancers	PLEKHN1	-0.0105	-0.0064	5.13125364322619e-11	1.31445539999999e-15	3.14238850151328e-15
chr16	88685013	88686030	1018	5	Shore	Flanking Bivalent TSS/Enh;Flanking Active TSS	Active TSS;Flanking Active TSS	SNAI3-AS1;SNAI3	-0.0064	-0.0041	6.69516394084947e-11	9.33972984418329e-12	3.14427004788678e-15
chr12	46536730	46537355	626	3	Open sea	Enhancers	Enhancers		-0.0075	-0.00466666666666667	5.45732762392238e-10	1.11210149999999e-15	3.14653527763086e-15
chr16	67931195	67932717	1523	13	Open sea;Shelf	Strong transcription	Strong transcription	CTC-479C5.12;CTRL	-0.0069	-0.000653846153846154	1.37190249325709e-07	5.64853984323306e-09	3.14924432489927e-15
chr4	3466460	3466921	462	2	Shelf	Flanking Bivalent TSS/Enh;Flanking Active TSS	Flanking Active TSS	DOK7	-0.0109	-0.00725	2.34048021833719e-14	6.49752399175752e-13	3.16372225859334e-15
chr3	52830642	52831620	979	6	Open sea	Genic enhancers;Flanking Active TSS	Genic enhancers;Flanking Active TSS	ITIH4;RP5-966M1.6	-0.0199	-0.0052	1.19607634384512e-11	2.45667475208439e-11	3.25850456720036e-15
chr10	132807610	132809773	2164	9	Island;Shore	Weak Repressed PolyComb;Repressed PolyComb	Weak Repressed PolyComb	CFAP46	0.0055	0.00367777777777778	1.02658409508276e-14	6.97936148830958e-05	3.2644234345306e-15
chr13	98475792	98476579	788	4	Shore	Weak transcription;Enhancers	Enhancers	STK24	0.0068	0.00585	1.79384485188068e-15	1.33030492727304e-08	3.27547432173751e-15
chr19	7861121	7862487	1367	6	Shore;Island	Bivalent Enhancer;Flanking Bivalent TSS/Enh	Repressed PolyComb;Bivalent Enhancer	EVI5L	0.0054	0.00336666666666667	6.53769576129834e-12	6.38540052245441e-07	3.27876613741571e-15
chr14	104604002	104605376	1375	7	Shore;Island	Repressed PolyComb;Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer	TMEM179	0.0054	0.00302857142857143	4.00773732003357e-09	6.16469380062921e-10	3.29771064668456e-15
chr3	194397748	194399420	1673	11	Island;Shore	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Repressed PolyComb	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Repressed PolyComb	GP5	0.0065	0.0033	9.73089385332847e-10	4.82012522217704e-09	3.37802193832571e-15
chr3	50237192	50238832	1641	10	Shore;Island	Flanking Active TSS	Flanking Active TSS	GNAI2;XXcos-LUCA16.1	0.0072	0.0038	9.8569606729658e-15	4.56305718120863e-05	3.40525447457006e-15
chr3	119323740	119325675	1936	3	Shore;Shelf	Flanking Active TSS;Quiescent/Low;Weak Repressed PolyComb	Flanking Active TSS;Weak transcription	ARHGAP31-AS1;ARHGAP31	0.0072	0.00593333333333333	4.79637822031704e-16	5.33288844884336e-07	3.45807497427215e-15
chr2	216426776	216427204	429	6	Open sea	Enhancers	Enhancers		-0.0094	-0.00723333333333333	8.99698977765629e-16	5.69739945412421e-05	3.46944730318012e-15
chr11	33295468	33295546	79	3	Open sea	Enhancers	Enhancers		-0.0091	-0.00606666666666667	4.11536110140298e-13	1.28982904446e-11	3.47883297208938e-15
chr18	11855656	11857784	2129	8	Shelf;Open sea	Enhancers;Flanking Active TSS;Active TSS	Weak transcription;Enhancers;Flanking Active TSS	GNAL;RP11-78A19.4	-0.0103	-0.0043375	1.9127434000239e-11	7.415717437703e-09	3.47901061746166e-15
chr8	20105204	20105776	573	2	Open sea	Quiescent/Low;Enhancers	Quiescent/Low;Enhancers	AC100802.3;LOC105379311	-0.0104	-0.0082	6.37627326534846e-15	7.19818499915406e-12	3.53200020224351e-15
chr3	128794416	128795171	756	4	Open sea	Enhancers	Enhancers;Flanking Active TSS	RAB7A;LOC653712	-0.0098	-0.0063	1.80106012323996e-13	2.61480330674105e-08	3.56545500802771e-15
chr22	43998285	43999552	1268	9	Shore;Shelf	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	Strong transcription;Genic enhancers	SAMM50;PARVB	-0.0056	-0.00401111111111111	1.35021542562032e-14	4.3554880668395e-05	3.62768103829913e-15
chr16	69328725	69329332	608	5	Shore	Transcr. at gene 5' and 3';Flanking Active TSS	Flanking Active TSS	RP11-343C2.12;COG8;PDF	-0.0061	-0.00402	2.77225209432073e-13	2.03473327280839e-09	3.63568315288263e-15
chr8	123531988	123533134	1147	6	Open sea	Genic enhancers	Genic enhancers		-0.0095	-0.00545	2.91573094185346e-14	3.36604101558499e-07	3.64489301727274e-15
chr7	130940713	130941799	1087	4	Open sea	Active TSS	Active TSS;Flanking Active TSS	LINC-PINT	-0.0069	-0.005925	5.04275158765795e-16	1.1539207110008e-06	3.66786684776226e-15
chr2	98560080	98560669	590	4	Open sea	Enhancers	Genic enhancers;Enhancers		-0.0088	-0.005025	1.33600854401384e-14	1.6349259653554e-09	3.66867467669932e-15
chr7	123655154	123656043	890	5	Open sea	Active TSS;Transcr. at gene 5' and 3'	Active TSS	LMOD2	-0.0102	-0.00526	1.24544131844252e-14	9.65448899344406e-09	3.66940772153379e-15
chr16	10876342	10877392	1051	10	Shelf;Shore	Repressed PolyComb;Bivalent/Poised TSS	Repressed PolyComb;Bivalent/Poised TSS	CIITA;RP11-876N24.2	-0.0059	-0.00276	4.58998616290697e-13	1.60269860439014e-05	3.68461612701519e-15
chr1	58395388	58395483	96	2	Open sea	Quiescent/Low	Quiescent/Low	DAB1	0.0084	0.00665	2.58912524904844e-14	7.88964798748274e-13	3.71357417220245e-15
chr7	27200626	27202541	1916	9	Island;Shore	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Bivalent/Poised TSS;Repressed PolyComb	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Repressed PolyComb	HOTTIP_2;HOTTIP;HOXA13;HOTTIP_3	0.0057	0.00276666666666667	2.31950136678652e-13	5.68959102398732e-06	3.71870367917853e-15
chr8	101393193	101393712	520	6	Open sea	Enhancers;Quiescent/Low	Quiescent/Low	KB-1930G5.3	0.0085	0.00588333333333333	6.69323826165779e-17	0.000125132146392143	3.73459707809351e-15
chr22	35622564	35623584	1021	7	Open sea	Flanking Active TSS;Enhancers	Enhancers;Flanking Active TSS;Weak transcription	MB;RASD2;APOL6	-0.0087	-0.00292857142857143	1.23444720751172e-07	1.51073369999983e-15	3.73964246723992e-15
chr5	59656084	59656487	404	2	Open sea	Enhancers	Enhancers		-0.006	-0.0048	2.5978596500672e-14	8.44215998519663e-13	3.84347073545998e-15
chr4	184766308	184766732	425	2	Open sea	Genic enhancers	Strong transcription	ACSL1	-0.0114	-0.0068	5.55175128116038e-11	1.65983139999999e-15	3.86887156375623e-15
chr11	128684690	128686969	2280	15	Shelf;Shore;Island	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer;Flanking Bivalent TSS/Enh	RP11-744N12.3;FLI1	-0.0044	-0.00206	4.19462050199974e-12	1.36655946130628e-06	3.9283419683106e-15
chr10	127736873	127738129	1257	8	Island	Repressed PolyComb;Bivalent Enhancer;Bivalent/Poised TSS	Repressed PolyComb	RP11-288A5.2;FOXI2	0.0067	0.0029375	1.02499138268318e-06	1.98580795120781e-12	3.9485544630992e-15
chr1	244210189	244210762	574	2	Open sea	Weak transcription	Quiescent/Low		0.005	0.00395	6.66863514415431e-10	6.91338399999999e-16	4.01675373608871e-15
chr2	239956397	239956765	369	3	Open sea	Genic enhancers	Enhancers		-0.0137	-0.00726666666666667	1.97501853415077e-11	1.42837382020702e-11	4.04481054078482e-15
chr3	183824387	183826844	2458	11	Shore;Island	Flanking Active TSS;Active TSS;Enhancers	Flanking Active TSS;Active TSS;Enhancers	MAP6D1	-0.0152	-0.00132727272727273	7.52680427479662e-05	3.01308149996297e-14	4.057381057027e-15
chr1	164562791	164563804	1014	3	Open sea	Active TSS	Active TSS	PBX1	-0.0136	-0.00883333333333333	2.1843667874445e-14	2.86928989739232e-11	4.07094688081505e-15
chr19	49673799	49674503	705	3	Shelf	Weak transcription	Weak transcription	BCL2L12;PRMT1	-0.0064	-0.00466666666666667	2.25627310595035e-14	5.91097255275406e-11	4.10924203480271e-15
chr3	156816286	156817070	785	3	Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	LINC00886	0.0097	0.00563333333333333	8.85748270348641e-10	1.1331452926626e-09	4.11864055278017e-15
chr5	139272817	139272829	13	2	Shore	Enhancers	Flanking Active TSS	SIL1;SNHG4;MATR3	-0.0078	-0.00635	1.98799606533259e-14	1.5824651912697e-12	4.27982946282401e-15
chr22	39363951	39364918	968	8	Open sea	Enhancers	Enhancers	SYNGR1;CBX7	0.005	0.0027	1.90688648232858e-12	1.99621835101406e-06	4.31665397968065e-15
chr17	37510278	37510837	560	5	Shelf;Shore	Enhancers;Weak transcription	Weak transcription	DUSP14	-0.0061	0.00096	4.18312458153147e-15	2.3306525371776e-06	4.34422355727216e-15
chr17	42670405	42672342	1938	10	Island;Shore	Genic enhancers;Strong transcription	Genic enhancers	PLEKHH3	-0.0128	-0.00338	2.02517231973862e-07	9.08137188362933e-12	4.37963327681757e-15
chr1	23865249	23865542	294	3	Shelf	Genic enhancers;Enhancers	Genic enhancers;Enhancers		-0.0144	-0.00983333333333333	4.8177935263138e-15	2.40146175733801e-09	4.40841003949501e-15
chr1	156740968	156741943	976	12	Shore;Island	Active TSS;Flanking Active TSS	Flanking Active TSS;Active TSS	MRPL24	-0.0112	-0.00263333333333333	0.000493342406165068	7.57607279946808e-16	4.53795862886034e-15
chr3	141431671	141432166	496	2	Open sea	Active TSS	Flanking Active TSS;Active TSS	ZBTB38	-0.0097	-0.0087	1.27501528726264e-15	9.98457266748383e-09	4.60291799155669e-15
chr1	154988173	154988476	304	5	Open sea	Strong transcription	Genic enhancers	FLAD1	-0.005	-0.00148	1.01109705666066e-06	8.38289513480176e-10	4.61514283095766e-15
chr19	646590	647765	1176	4	Island	Strong transcription	Strong transcription	RNF126	-0.011	-0.004625	3.06845484639002e-08	4.41513728124112e-12	4.71870907631784e-15
chr17	63931562	63933095	1534	8	Open sea	Flanking Active TSS;Enhancers;Weak Repressed PolyComb	Enhancers;Weak transcription	CD79B;FTSJ3	0.0051	0.0025625	6.49427658855929e-06	6.60506865143011e-07	4.83994771533766e-15
chr6	30171700	30172935	1236	20	Shore;Island	Repressed PolyComb;Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer	TRIM15	0.008	0.002125	1.53531030296024e-05	1.09443247382269e-06	4.87075695074593e-15
chr12	117141526	117142201	676	4	Open sea	Enhancers;Weak transcription;Strong transcription	Weak transcription;Strong transcription	TESC-AS1;FBXO21	0.0071	0.0055	5.02495699564561e-15	1.61954207211598e-08	4.94883595687163e-15
chr1	8352097	8352788	692	5	Open sea	Enhancers;Genic enhancers	Weak transcription;Genic enhancers	RERE	-0.0067	0.00086	3.53115215726239e-09	3.0409349999887e-14	5.02012664443895e-15
chr19	48624820	48625061	242	2	Shore	Flanking Active TSS	Flanking Active TSS	SPHK2;AC022154.7	-0.012	-0.00595	6.65018369017771e-06	2.757386e-16	5.06479218253488e-15
chr12	132031118	132032050	933	4	Shore;Shelf	Genic enhancers;Strong transcription	Genic enhancers;Strong transcription	EP400	-0.0071	-0.005175	1.05144170365607e-14	1.83910117606158e-09	5.09581093939838e-15
chr12	110344837	110346373	1537	5	Open sea	Strong transcription;Genic enhancers	Genic enhancers	ATP2A2	-0.0091	-0.0044	4.01106803355517e-10	1.5469256371818e-09	5.20164559540829e-15
chr1	9258031	9259509	1479	3	Open sea	Genic enhancers;Enhancers	Enhancers;Flanking Active TSS;Genic enhancers	H6PD	-0.009	-0.0047	2.93079443191362e-12	1.52455893682017e-10	5.20763823444873e-15
chr1	230278546	230282577	4032	16	Shore;Island;Shelf	Strong transcription;Genic enhancers;Enhancers;Weak Repressed PolyComb	Strong transcription;Weak transcription	GALNT2;RP5-956O18.3	-0.0073	-0.00095625	3.03441120845022e-06	8.62314404976067e-06	5.35818765869571e-15
chr11	114058391	114059087	697	5	Shore;Island	Flanking Active TSS	Flanking Active TSS	ZBTB16	-0.0058	-0.00448	1.48683855451113e-14	4.17172926828759e-08	5.47956135514738e-15
chr16	4086051	4086365	315	2	Open sea	Enhancers	Enhancers		-0.0135	-0.00725	3.03278976551914e-08	4.368548e-16	5.56067464200551e-15
chr5	177554624	177555437	814	11	Island;Shore	Active TSS;Flanking Active TSS;Enhancers	Flanking Active TSS;Active TSS	FAM193B;RP11-1277A3.3	-0.0054	-0.00263636363636364	1.66329388540083e-10	3.53195688445872e-07	5.5934525271689e-15
chr2	216371316	216372319	1004	15	Island	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Repressed PolyComb;Bivalent Enhancer	MARCH4	0.0064	0.00180666666666667	2.2230483307978e-06	8.3370920448981e-10	5.62381521931658e-15
chr11	125624784	125625697	914	8	Shore;Island	Weak transcription;Flanking Active TSS;Active TSS	Enhancers;Flanking Active TSS	CHEK1;STT3A	-0.0109	-0.001825	0.000450801570182405	2.5327e-18	5.68382611893097e-15
chr2	64990076	64990488	413	4	Island;Shore	Flanking Active TSS	Flanking Active TSS	SLC1A4	-0.0071	-0.005975	4.98493404884913e-16	2.18444726426415e-06	5.78836421412479e-15
chr18	79419805	79420673	869	2	Shore;Island	Weak transcription;Genic enhancers;Transcr. at gene 5' and 3'	Weak transcription;Genic enhancers	RP11-196B3.1;NFATC1	0.0116	0.00815	2.73211572518035e-14	1.92903058849268e-12	5.83203242658305e-15
chr9	131288326	131289880	1555	9	Open sea	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	PPAPDC3	-0.0066	-0.00308888888888889	1.5827491919859e-13	3.79351546852141e-07	5.88708288749724e-15
chr10	131954002	131954789	788	8	Open sea	Strong transcription	Strong transcription	PPP2R2D	-0.0094	-0.0016375	1.98253602799744e-06	1.72839519968551e-13	5.93637662989102e-15
chr1	19074427	19074574	148	2	Open sea	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3';Genic enhancers	RP5-1126H10.2;UBR4	-0.0071	-0.00645	6.97023649395794e-14	5.46469799743428e-13	5.94346144384546e-15
chr9	127767222	127767327	106	2	Shelf	Bivalent Enhancer	Enhancers	FAM129B;ENG;LOC102723566;FPGS;CDK9;SH2D3C	0.0089	0.0067	3.73650055198409e-15	1.38026078864296e-10	6.01905191851328e-15
chr12	1663063	1663941	879	4	Island;Shore	Bivalent Enhancer;Repressed PolyComb;Weak Repressed PolyComb	Weak Repressed PolyComb		0.0059	0.004125	2.02946347852096e-12	3.51227744079569e-08	6.06548812749998e-15
chr22	29308492	29309473	982	4	Island;Shore	Flanking Active TSS;Flanking Bivalent TSS/Enh	Flanking Active TSS	GAS2L1	0.0068	0.004425	3.38150341571801e-14	4.14738822497662e-08	6.14577907533808e-15
chr16	1435968	1437613	1646	8	Shore;Island	Weak transcription;Strong transcription	Weak transcription	CCDC154;LA16c-312E8.4	0.0048	0.002675	2.46992139576599e-10	9.96679985724574e-08	6.22278521623665e-15
chr6	2818756	2819432	677	2	Open sea	Enhancers	Enhancers	SERPINB9;SERPINB1	-0.014	-0.00765	3.47470545499382e-08	4.850474e-16	6.22516968913838e-15
chr3	130915663	130915677	15	2	Open sea	Enhancers	Enhancers		-0.0116	-0.01	1.74210658306e-15	1.25097790786369e-08	6.28886192728282e-15
chr19	40519102	40520051	950	6	Shore;Island	Weak transcription;Weak Repressed PolyComb	Weak Repressed PolyComb	SPTBN4	0.0101	0.00536666666666667	5.66306512435658e-15	3.92259925829083e-08	6.33480333308006e-15
chr6	18386641	18387330	690	10	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS	RNF144B	-0.0072	-0.00166	0.000884583343017455	5.59092959812532e-13	6.44889367537492e-15
chr3	141425632	141427452	1821	6	Open sea	Enhancers	Enhancers	ZBTB38	-0.0055	-0.00296666666666667	1.92617683221307e-08	1.96416050495737e-09	6.46195081378493e-15
chr5	181039678	181040518	841	8	Open sea	Bivalent/Poised TSS;Active TSS	Repressed PolyComb;Bivalent/Poised TSS	BTNL9	0.006	0.0032125	7.44995721752663e-13	1.44658103939276e-06	6.47973929060949e-15
chr14	103008913	103009328	416	2	Open sea	Genic enhancers	Genic enhancers		-0.0072	-0.00695	6.34590586158448e-15	4.29688076423845e-11	6.57953201192376e-15
chr16	27217357	27217711	355	3	Open sea	Enhancers;Weak transcription	Enhancers;Weak transcription	KDM8	0.0073	0.0062	7.67233757560125e-16	9.84275625489134e-07	6.67655357572631e-15
chr1	202591242	202592428	1187	3	Open sea	Enhancers	Enhancers		0.0058	-7e-04	5.28702277031769e-14	1.51215345296005e-09	6.7172962277197e-15
chr19	2037662	2038600	939	5	Shore;Island	Enhancers;Genic enhancers	Weak transcription;NA	MKNK2	-0.0109	-0.00284	0.00146122909511956	6.53082499999742e-16	6.74174444662658e-15
chr3	15600156	15600400	245	3	Shore	Strong transcription;Transcr. at gene 5' and 3'	Genic enhancers	BTD;HACL1	-0.0079	-0.00513333333333333	1.82755496173899e-11	4.89606549722945e-09	6.79297014276956e-15
chr5	82334446	82335211	766	2	Open sea	Enhancers;Flanking Active TSS	Flanking Active TSS	ATP6AP1L	-0.0145	-0.0096	3.88592160242191e-14	1.62474339418364e-12	6.86329609946344e-15
chr15	90914890	90917630	2741	10	Open sea	Genic enhancers;Transcr. at gene 5' and 3'	Genic enhancers;Transcr. at gene 5' and 3'	MAN2A2	-0.0113	-0.00388	4.48620253667614e-12	4.63055480751143e-06	6.92708272730129e-15
chr22	41431479	41432031	553	2	Open sea	Genic enhancers;Weak transcription	Enhancers;Weak transcription		-0.0063	-0.0054	3.18232437926739e-14	2.26208398453709e-12	6.96448338065355e-15
chr1	36481574	36483463	1890	7	Open sea	Bivalent Enhancer;Weak Repressed PolyComb;Repressed PolyComb	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Flanking Active TSS;Active TSS;Weak transcription	OSCP1;CSF3R	-0.0047	0.00152857142857143	1.39710843766417e-12	1.99034935499016e-09	7.00110626998298e-15
chr4	86972869	86973984	1116	3	Open sea	Enhancers;Quiescent/Low	Weak transcription;Enhancers	AFF1	-0.0082	-0.00103333333333333	1.33920548272536e-09	9.50665499921105e-14	7.00510038342343e-15
chr2	240557412	240558803	1392	14	Island;Shore	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Enhancers	Enhancers;Flanking Active TSS	ANKMY1	0.0085	0.00281428571428571	2.44543304416792e-09	4.24506956890873e-08	7.0591653402977e-15
chr6	33314535	33317061	2527	49	Shore;Island	Flanking Active TSS;Enhancers;Genic enhancers;Active TSS	Flanking Active TSS;Enhancers	TAPBP;ZBTB22;RPS18;VPS52;WDR46;RGL2;PHF1;DAXX	0.005	-0.000363265306122449	4.31346957527293e-08	4.88504647822904e-08	7.07084168272389e-15
chr17	81966084	81966895	812	6	Shelf;Open sea	Weak Repressed PolyComb;Repressed PolyComb	Weak Repressed PolyComb	RP11-498C9.17	0.0065	0.00346666666666667	6.00355323102445e-14	2.08074757800935e-06	7.07092895770438e-15
chr16	70470489	70471292	804	3	Shelf;Shore	Genic enhancers	Genic enhancers;Weak transcription	FUK	-0.0107	-0.00703333333333333	6.0571621883812e-14	1.3402102679318e-09	7.10140613839217e-15
chr6	32046196	32047873	1678	21	Open sea	Genic enhancers	Quiescent/Low;Enhancers	TNXB	0.0062	0.0025	8.95212581358819e-15	0.00111610361743726	7.10947698412632e-15
